id;titulo;descripcion;urlrepo;categoria;estado
1;potentially;er;publicize wonderfully pasta;VIDEOJUEGO;ABIERTO
2;nor;pfft gullible;telescope contradict proper;CIBER;ABIERTO
3;gosh mythology airline;after mmm blah;finally;EMBEBIDO;ABIERTO
4;forgery;grandiose geez;wearily humble;VIDEOJUEGO;ABIERTO
5;majestic burly unaware;monthly blah;ethyl;EMBEBIDO;CERRADO
6;thongs although;as gosh scarification;likewise if practical;EMBEBIDO;CERRADO
7;seriously inasmuch lustrous;leading why;spear;MOVIL;CERRADO
8;dispose;than yummy;er airline;WEB;CERRADO
9;how yesterday;below;mozzarella;CIBER;ABIERTO
10;revere;interestingly ribbon scenario;instead unearth;MOVIL;CERRADO
